Reference,NumberOfShipsInvolved,ShipsInvolved,SOLASStatus,FlagStates,IncidentDateTime,TypeOfCasualty,Coordinates,Location,NumberOfInvestigationReports,NumberOfAnalyses,InitialEvent,SummaryOfEvents,ShipType1,Consequences1,GrossTonnage1,ClassificationSociety1,Deadweight1,Cargo1,CrewOnboard1,PassengersOnboard1,OthersOnboard1,DeadMissingCrew2,DeadMissingPassengers2,DeadMissingOthers3,SeriouslyInjuredCrew2,SeriouslyInjuredPassengers2,SeriouslyInjuredOthers2,InvestationReportDate,AnalysisDate
"C0007293","1","QUEEN OF BURNABY (IMO 6510148)","QUEEN OF BURNABY: Unknown/unspecified","CAN","1993-02-05 13:55","Less serious"," ","Tsawwassen Terminal, British Columbia","1","0","Vehicle damaged by the ramp","On the afternoon of 05 February 1993, passengers and vehicles were disembarking from the Queen of Burnaby in dock No 8 at Tsawwassen Terminal. The ferry’s main propulsion was in operation to hold the ship in position but, as the discharging procedure continued, the Queen of Burnaby became misaligned with the berth such that the shore ramp to the vehicle deck was partially supported by the hinged flaps at the end of the ramp apron. The flaps were pushed to the vertical by the deck edge, and a vehicle, which was driving off, struck them and was damaged.","RORO CARGO/FERRY","","4902","","1176","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2009-05-15",""
"C0000977","1","RHINO (-)","RHINO: Unknown/unspecified","MLT","1993-02-03 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000976","1","PROSPERITY (-)","PROSPERITY: Unknown/unspecified","PAN","1993-02-03 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000975","1","EKMAN (-)","EKMAN: Unknown/unspecified","PAN","1993-02-01 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0007340","1","CAPE ASPY (-)","CAPE ASPY: Unknown/unspecified","CAN","1993-01-30 23:30","Very serious","422860N 0655820W","Côte Sud-Ouest de la Nouvelle-Ecosse","1","0","Sinking","Le cape Aspy a appareillé  de Luxemburg (Nouvelle-Ecosse) le 30 Janvier 1993 à destination des lieux de pêche  du banc Georges. Environ 14 heures plus tard, par gros temps, le navire a coulé en cours de route par 120 brasses de fond par 42°28.6 N et 65°58.2 W, faisant cinq morts.","Trawler","Loss of life,Total loss of the ship","323","","","","16","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2009-06-12",""
"C0000974","1","LUCKY FORTUNE (-)","LUCKY FORTUNE: Unknown/unspecified","HND","1993-01-30 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000973","1","BETHESDA 2 (-)","BETHESDA 2: Unknown/unspecified","HND","1993-01-30 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000972","1","SKALISTYY BEREG (-)","SKALISTYY BEREG: Unknown/unspecified","RUS","1993-01-27 00:00","Unspecified"," ","","0","0","","","Refrigerated Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000971","1","BO SEONG NO.11 (-)","BO SEONG NO.11: Unknown/unspecified","KOR","1993-01-27 00:00","Unspecified"," ","","0","0","","","Fish Factory Ship / Fish Carrier","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000970","1","NORDHOPE (-)","NORDHOPE: Unknown/unspecified","LBR","1993-01-26 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
