Reference,NumberOfShipsInvolved,ShipsInvolved,SOLASStatus,FlagStates,IncidentDateTime,TypeOfCasualty,Coordinates,Location,NumberOfInvestigationReports,NumberOfAnalyses,InitialEvent,SummaryOfEvents,ShipType1,Consequences1,GrossTonnage1,ClassificationSociety1,Deadweight1,Cargo1,CrewOnboard1,PassengersOnboard1,OthersOnboard1,DeadMissingCrew2,DeadMissingPassengers2,DeadMissingOthers3,SeriouslyInjuredCrew2,SeriouslyInjuredPassengers2,SeriouslyInjuredOthers2,InvestationReportDate,AnalysisDate
"C0001925","1","JUTHA JESSICA (IMO 7216971)","JUTHA JESSICA: Unknown/unspecified","THA","1997-01-01 00:00","Very serious"," ","Off Saengo, Pusan","0","0","","","General Cargo Ship","","11082","","","","","","","5","","","","","","",""
"C0001927","1","LE SAULE NO.1 (IMO 0)","LE SAULE NO.1: Unknown/unspecified","CAN","1997-01-01 00:00","Serious"," ","Montreal","0","0","","","Oil Tanker","","4701","","","","","","","","","","","","","",""
"C0001795","1","AMER YAMUNA (IMO 7920699)","AMER YAMUNA: Unknown/unspecified","PAN","1997-01-01 00:00","Serious"," ","Kunsan","0","0","","","Chemical Tanker","","3410","","","","","","","","","","","","","",""
"C0001824","2","C.P.32 (IMO 0), HALLBORG (IMO 7348841)","C.P.32: Unknown/unspecified, HALLBORG: Unknown/unspecified","THA","1997-01-01 00:00","Serious"," ","At Bang Hua Sau, Thailand","0","0","","","Chemical Tanker","","3802","","","","","","","","","","","","","",""
"C0001505","1","BARGE 415 (-)","BARGE 415: Unknown/unspecified","USA","1996-12-31 00:00","Unspecified"," ","","0","0","","","Other Ships Structures","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0001504","1","KARGAT (-)","KARGAT: Unknown/unspecified","RUS","1996-12-30 00:00","Unspecified"," ","","0","0","","","Fish Catching Vessel","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0001503","1","KINRYU MARU (-)","KINRYU MARU: Unknown/unspecified","JPN","1996-12-28 00:00","Unspecified"," ","","0","0","","","Other Liquids (non-flammable) Tanker","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0001502","1","CHUO MARU NO.7 (-)","CHUO MARU NO.7: Unknown/unspecified","JPN","1996-12-28 00:00","Unspecified"," ","","0","0","","","Dredger","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0001501","1","DYSTOS (-)","DYSTOS: Unknown/unspecified","GRC","1996-12-28 00:00","Unspecified"," ","","0","0","","","Bulk Dry (general, ore) Carrier","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0001500","1","PAX (IMO 8100636)","PAX: Unknown/unspecified","DNK","1996-12-27 21:00","Serious"," ","Keadby, river trent, UK","0","1","Contact","Alongside the quay, the ship was hit by M/V LAURA HELENA, Cyprus. The starboard part of the bridge was smashed and starboard bulkward was pressed down. A hole in the hull to the engine room flooded the room but the ship remained floating. The ship was later towed to Hull for repair. ","General Cargo Ship","Ship rendered unfit to proceed","1499","","1757","","","","","0","0","0","0","0","0","","2005-05-23"
"C0001499","1","MISTER BILL (-)","MISTER BILL: Unknown/unspecified","USA","1996-12-26 00:00","Unspecified"," ","","0","0","","","Offshore Supply Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0001498","1","BLUMEAU REEFER (-)","BLUMEAU REEFER: Unknown/unspecified","MLT","1996-12-25 00:00","Unspecified"," ","","0","0","","","Refrigerated Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0001497","1","STARLIGHT (-)","STARLIGHT: Unknown/unspecified","PAN","1996-12-25 00:00","Unspecified"," ","","0","0","","","Oil Tanker","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0001496","1","SEABIRD 1 (-)","SEABIRD 1: Unknown/unspecified","PAN","1996-12-25 00:00","Unspecified"," ","","0","0","","","Oil Tanker","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0001495","1","MEHMET BESIR AGMA (-)","MEHMET BESIR AGMA: Unknown/unspecified","TUR","1996-12-24 00:00","Unspecified"," ","","0","0","","","Bulk Dry (general, ore) Carrier","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0001494","1","HUA CHUAN (-)","HUA CHUAN: Unknown/unspecified","PAN","1996-12-24 00:00","Unspecified"," ","","0","0","","","Bulk Dry (general, ore) Carrier","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0001493","1","BORIS LAVROV (-)","BORIS LAVROV: Unknown/unspecified","RUS","1996-12-23 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0001492","1","KINYO MARU NO.2 (-)","KINYO MARU NO.2: Unknown/unspecified","JPN","1996-12-22 00:00","Unspecified"," ","","0","0","","","Other Liquids (non-flammable) Tanker","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0001491","1","BLUE SKY II (-)","BLUE SKY II: Unknown/unspecified","PAN","1996-12-22 00:00","Unspecified"," ","","0","0","","","Chemical Tanker","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0001490","1","LIBERTY STAR (-)","LIBERTY STAR: Unknown/unspecified","PAN","1996-12-21 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0001489","1","SEATRAN PRINCESS (-)","SEATRAN PRINCESS: Unknown/unspecified","THA","1996-12-19 00:00","Unspecified"," ","","0","0","","","Passenger Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0001488","1","MARINE STAR M (-)","MARINE STAR M: Unknown/unspecified","HND","1996-12-18 00:00","Unspecified"," ","","0","1","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","","2005-05-23"
"C0001487","1","KANRYU  MARU (-)","KANRYU  MARU: Unknown/unspecified","JPN","1996-12-18 00:00","Unspecified"," ","","0","0","","","Other Liquids (non-flammable) Tanker","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0001486","1","BALTIC PROSPERITY (-)","BALTIC PROSPERITY: Unknown/unspecified","PAN","1996-12-18 00:00","Unspecified"," ","","0","1","","","Other Liquids (non-flammable) Tanker","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","","2005-05-23"
"C0001485","1","KORALLE (IMO 8415201)","KORALLE: Unknown/unspecified","DEU","1996-12-17 22:00","Serious","570600N 0121300E","Varberg","0","0","Capsizing / listing","On the 17/12/96 at 20:30, the MV KORALLE left Varberg (Sweeden) with destination to UK with a full of cargo of wood. 
At 22:00 the vessel suffered from heavy list of 45° to her starboard side. 
The Master tried to stabilize the vessel unsuccessfully.
At 22:40 three of the crewmembers abandonned the ship. The Master and the Chief Mate stayed on board.
A patrol boat was in stand by to give support to the vessel and started to tow her back into port at 23:00.
At about 232:30 the vessel came aground in position 57° 06,4N 012°13,4E. At the time the vessel was stuck.
On the 18th and 19th December 1996, the decks cargo were discharged and the vessel was towed back into port of Varberg on 20/12/96. Subsequently the vessel was completely discharged.","General Cargo Ship","Ship rendered unfit to proceed","1851","Germanischer Lloyd (GL)","","","5","","","0","0","0","0","0","0","",""
"C0001484","1","ANDREAS A. (-)","ANDREAS A.: Unknown/unspecified","MLT","1996-12-17 00:00","Unspecified"," ","","0","0","","","Bulk Dry (general, ore) Carrier","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
