Reference,NumberOfShipsInvolved,ShipsInvolved,SOLASStatus,FlagStates,IncidentDateTime,TypeOfCasualty,Coordinates,Location,NumberOfInvestigationReports,NumberOfAnalyses,InitialEvent,SummaryOfEvents,ShipType1,Consequences1,GrossTonnage1,ClassificationSociety1,Deadweight1,Cargo1,CrewOnboard1,PassengersOnboard1,OthersOnboard1,DeadMissingCrew2,DeadMissingPassengers2,DeadMissingOthers3,SeriouslyInjuredCrew2,SeriouslyInjuredPassengers2,SeriouslyInjuredOthers2,InvestationReportDate,AnalysisDate
"C0001119","1","MIDAS OCEAN (-)","MIDAS OCEAN: Unknown/unspecified","HND","1995-01-01 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0001338","1","AMBASSADOR (IMO 8016653)","AMBASSADOR: Unknown/unspecified","VUT","1994-12-31 00:00","Serious"," ","Belledune, New Brunswick, Canada","1","0","Fire or explosion","The ship had commenced discharging a full cargo of rock phosphate at a fertilizing manufacturing plant at Belledune, NB, using her own discharging equipment. During the earlier hours of 31 December 1994, a fire broke out in the cargo conveyor belt system and continued for several hours before it was finally extinguished. The ship suffered considerable damage.

","Bulk Dry (general, ore) Carrier","","24094","Lloyd's Register (LR)","","","35","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2009-11-11",""
"C0001118","2","NEW WORLD (-), YA MAWLAYA (-)","NEW WORLD: Unknown/unspecified, YA MAWLAYA: Unknown/unspecified","HKG","1994-12-21 00:00","Unspecified"," ","","0","0","","","Oil Tanker","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0001117","1","YUSHO NO.20 (-)","YUSHO NO.20: Unknown/unspecified","PAN","1994-12-17 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0001116","1","SALVADOR ALLENDE (-)","SALVADOR ALLENDE: Unknown/unspecified","UKR","1994-12-09 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0001111","1","PLUTO (-)","PLUTO: Unknown/unspecified","LBR","1994-12-07 00:00","Unspecified"," ","","0","0","","","Oil Tanker","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0001110","1","SHELBY STAR (-)","SHELBY STAR: Unknown/unspecified","HND","1994-12-06 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0001109","1","SHA CHA BARBARA EXPRESS (-)","SHA CHA BARBARA EXPRESS: Unknown/unspecified","HND","1994-12-03 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0001115","2","CEBU CITY (-), KOTA SURIA (-)","CEBU CITY: Unknown/unspecified, KOTA SURIA: Unknown/unspecified","PHL","1994-12-02 00:00","Unspecified"," ","","0","0","","","Passenger Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0001114","1","NEPTUNE SUN (-)","NEPTUNE SUN: Unknown/unspecified","MLT","1994-11-30 00:00","Unspecified"," ","","0","0","","","Passenger / Ro-Ro Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0001113","1","ACHILLE LAURO (-)","ACHILLE LAURO: Unknown/unspecified","ITA","1994-11-30 00:00","Unspecified"," ","","0","0","","","Passenger Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0001112","1","POLYDOROS (-)","POLYDOROS: Unknown/unspecified","CYP","1994-11-20 00:00","Unspecified"," ","","0","1","","","Other Liquids (non-flammable) Tanker","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","","2005-05-23"
"C0001108","1","GOLDEN CHARIOT (-)","GOLDEN CHARIOT: Unknown/unspecified","PAN","1994-11-15 00:00","Unspecified"," ","","0","0","","","Bulk Dry (general, ore) Carrier","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
